,full_text,assoc_shooter,weeks_after
13645, on  research   ,0,4
13646, regardless of the republicans winning the  standoff     the bloodshed will accelerate   ,1,2
13647, is a  issue  guns should not have any role in   promote   not guns   ,0,2
13649, testify that hillary listened to them about    the need to    ,0,3
13650,      how many more towns will be spotlighted because of   ,0,1
13652, republican senators won t protect americans from    ,1,1
13654, fuck the gun lobby making billions from death making more money when there s a gun tragedy it s a monstrous industry,1,1
13655, guess how the swat team stopped the gunman  ask paris how well strict gun laws work or chicago ,1,1
13656, is killing america   ,1,1
13657, sigh  if anyone died on july 4  1776 is was probably in your run of the mill american    ,1,4
13658,   don t boo  vote    ,0,4
13659,   we ve got to be just as vocal as the gun lobby  that is how change happens    ,0,4
13660,   what will it take for you to       and more and you left for summer break   ,0,3
13662,17 year old willie williams iii was killed in chicago in 2006  his father joins us now on the show    ,0,1
13663,3 wounded in car to car  in san pedro     ,1,2
13664, my latest post in         ,0,2
13667, talks about       what a coward  scapegoating ppl w  a disability  ,0,1
13668, if you want to end   then enforce laws  no plea bargains   stricter sentencing    ,0,1
13669,   extraordinary         ,1,2
13670, just avoided answering a great question from    ,1,1
13671,   and assault weapons ban  no one needs military style weapons   ,1,1
13672,   is a pub health crisis  as a pedsmd  i urge you to support common sense proposals to protect children  ,1,1
13673, you cannot silence americans  we live in a democracy  we demand our children be safe from   ,1,2
13674, cops should be able to wear regular uniforms without fearing for their lives  ,0,1
13675,  we have no alternative but to amend the amendment  americans just are not responsible gun owners  ,1,3
13676,   on the issues       ,0,2
13678,a block from where i lived during high school  so sad     via ,1,3
13680,and be a no show when your voice could ve be critical on the senate floor      ,1,2
13681,applauding this  initiative to inform the peeps   help them take action to stop  in the   ,1,1
13685,california to create its own center to study gun violence   via     ,1,1
13686,call 1 855 331 8593 to connect w senate      do something   ,1,1
13687,cant shoot and kill someone if you dont have a gun ,1,2
13690,compare these gun death rates  the u s  is in a different world   via     ,1,1
13691,contact your lawmaker     ,1,1
13692,democratic party sit in in house just hit 26 hours  and still going    ,1,2
13693,despicable act   what now  an eye for an eye       ,0,1
13694,enough is enough   we          ,1,1
13695,everything you need to know about the ar 15 used in          ,1,1
13697,false correlation between gun control      if states with minimal gun laws tightened them  would gun deaths rise  ,0,1
13698,gabby giffords  she will take on the gun lobby that s why i m voting hillary    ,0,4
13699,glad to see  at   glad to see issue of  lifted up by marchers   ,1,3
13700,grateful that  did stream periscope video of  protest   on  vote  courage  ,1,2
13701,gun show shooting victim speaks out   story   texomashomepage   ,0,2
13703,he is the source of everything and everyone  join a christain convo on      ,0,4
13708,hey   thanks for the follow  we ll demand the  addresses    via  ,0,4
13710,how i lived to see another day by guest peter olsen       via  ,0,2
13711,i am a survivor of   a   a gun owner   an   i am soooo ,0,4
13713,i m sorry america but how many more people have to die      ,0,1
13714,i ve contacted the mayor s office in hopes of obtaining a phone or email interview  the  situation can t be ignored ,1,4
13715,if we are being honest   which kills more people per year    by far      ,1,2
13716,in the last 72 hours there have been 260 accounts of gun violence shootings in the u s   this is ridiculous   ,1,1
13717,is this the question you ask yourself every time u hear about more   we can make  when  now      ,0,2
13718,it needs to stop    ,1,1
13719,its scary to think what the future will look like  when  happened  i thought  it would never be worse then this  ,1,1
13720,jul 26  2016  there was another  today  sixteen more people shot       ,0,3
13721,jun 23  2016  there was another  today  four more people shot       ,1,2
13722,live  this company is turning weapons into watches to end     explains    ,1,1
13723,live  unfiltered thoughts episode 3 on        ,0,1
13725,like it or not we need to  on     here in      ,1,2
13726,man walks into hospital with gunshot wound  rockford police investigating   via    ,1,3
13727,more police officers die on the job in states with more guns      ,0,1
13730,no more     end  on the  ,1,1
13731,nra issues gold wound badge  lauds his  commitment to self defense unto death       ,1,2
13733,no guns were used during 9 11  but it is much harder to get on an airplane now      ,1,1
13734,note   had the courage to take on    ,1,1
13736,one man taken to hospital after shooting in norfolk      ,1,3
13737,or all the  and    investigations    ,1,3
13741,rip 6 year old  who passed from  at elementary school recess  we need  in this country ,0,2
13746,see how much the nra paid your senator to vote against gun reform       ,1,2
13747,senate votes on gun policy on monday  tell them to take action against  now     ,1,2
13748,senator jeff merkley of oregon now speaking with senate dems   chris murphy in  filibuster  live cspan2   ,1,1
13749,senators are making their way back 2 the capitol today  let them know the huge price of not preventing   ,0,1
13751,silent vigil   march against  in   7p at  friends to cathedral of the incarnation   ,1,3
13753,stats people   a way to find the truth  in this case   about  cloydriverspics s photo  ,1,2
13754,super sure anyone needs this for  home protection         ,1,1
13755,support grows among americans for stricter gun laws   via     ,0,4
13758,thank you  for talking about  and  gun laws      ,0,1
13759,thank you    for  leading the way   finally   to some gun common sense  bravo    ,1,1
13760,the  was featured on   discussing  in the community and how to mobilize  see more at   ,0,2
13761,the irony     ,0,2
13763,these 5 trees will be planted throughout the community as reminders that we must    combat    ,1,3
13764,this week s    the scope of america s  problem  don t tear down    ,1,2
13766,tired of being criticized by gun lovers for suggesting solutions for the us  problem  you solve it then  since you know more ,1,2
13768,together  we can prevent    ,0,3
13769,toll of  on  responders   via   ,1,3
13772,us  became children s issue w sandyhook  black issue w charleston  queer issue w orlando  first they came for the communists    ,1,1
13773,video shows chaotic aftermath of mid city shooting that killed 3        ,0,2
13774,watch here 9 30am pt tomorrow for live periscope of my  discussion w    scottish mp  ,0,2
13775,we are with you       ,1,2
13776,we have all had enough  join democrats thursday for a national speak out as we seek a path forward on    ,0,1
13777,we have an urgent need for create change in the   ,0,2
13778,we need more  in this country     all of our issues can be solved with a proper education,1,1
13779,what a sad time for people  for our planet  for our home   hearbroken to read news everyday     ,0,1
13780,what could actually work to fix gun violence in america   and what doesn t     ,1,2
13782,yesterday in chicago  1 person was killed and 22 people were wounded via    ,0,3
13783,get these demons out of office who are voting against the will of the people      ,1,2
13788, we need people like you to demand reform   responds to constituent letter from 15 yr old ella on sen floor on ,1,2
13789,    reduce   support the  ,1,1
13791, every year  over 30 000 people die in this country due to     says  many are women  victims  ,0,2
13792, it would be horribly tragic if my ability to protect myself or my family were to be taken away       ,1,2
13793, the police department went on to continue automatically disqualifying anyone whose iq was  too high    ,1,4
13794,  speak on their children          ,0,4
13795, refused to stand with  against   he chose his ego      ,1,2
13798, hey    be careful for explosive mix of  intruding into      ,0,1
13802, prevention advocates gathered   the capitol today to join    others in saying   ,1,4
13803, study  most ppl w   not violent   most  not caused by it   same 20yrs later  ,1,1
13805,  police  3 dead  1 injured after  near   ,0,2
13807,  so proud of house dems for sitting in to stop  we support you in this action  ,1,2
13811, mother killed by cops after fatally shooting her daughters        ,1,3
13812, shutdown after gunman reported    aren t used to seeing people w  guns  alarms go off  cops r called  no  ,1,1
13815, dobson died saving the lives of three friends  join me and say  is enough to   ,0,2
13817,     our firearms are killing us rather than protecting us        ,0,1
13819, ban guns based on scary looking cosmetic features are not going to prevent radical jihadis from murdering innocent people ,1,4
13820, these communities need our attention   help  ,0,2
13824,    a well regulated militia  is not every fool who wants to own a bazooka  please restore the assault weapons ban ,1,1
13825,    in the pines  oakland     via    ,0,1
13826,  s story   personally impacted by   he jumped into     ,1,4
13827,1 in 5 doctors experience ptsd after attending to the medical needs of shooting victims      ,0,2
13829,33 000 lives are lost a year to   republican politicians are  directly responsible    ,1,2
13830,33 000 people year die from   leaders gathered today in philly to fight to end this epidemic   ,0,3
13832,4 out of 4 amendments fail  so in response to  we get nothing    i hate the world today    ,1,2
13834, tons of workable solutions 2 reduce us outrageous  do some research if u r truly being fair interpret  properly,1,3
13835, end subsidized intoxication to end   make beverage  pay its way    ,1,4
13836,   fact checkers reveal he has a pinocchio nose longer then the state of      ,1,2
13838, show they can    will keep fighting to protect ppl from  so very proud to b a democrat  ,1,2
13839, we need to hear ideas to stop  we need  laws now  our children deserve better ,0,1
13840, if we take banning guns off the table  will you finally have a discussion about    ,1,2
13841, this should also make u proud as some1 who has blocked all attempts to pass new gun legislation    ,0,2
13843,   no it is time to do something about 90 americans that die needlessly  daily ,1,4
13844,   know this     the blood of future victims is now directly on your hands      ,1,2
13845, require a background check for every gun sale  no matter where you buy a gun or who you buy it from  end ,1,1
13846,  thank you senator sanders for staying up against     ,1,2
13848,   is a public health crisis   ,1,3
13852, you re boring     terrorists ,0,4
13853, nice to know that at least some people give a f     ,1,1
13855,   cruz talking about the perverted version of 2a     ,1,2
13856,  whut da fuck is happening in   o o ,1,1
13857, wow    what great news    ,1,2
13859,a semi automatic way to help the terrorists win     ,1,1
13862,also pray for every person that has lost a loved one from   i m hopeful we will begin to see change    let s all ignore trump ,1,1
13863,amazing sequence on    ,0,4
13864,amazing work by surgeons   case mgrs using trauma events as teachable moments for our patients     ,0,2
13865,another   ,0,2
13866,another day   another day of    today s location       several dead        ,0,3
13867,another day  another mourning  something has to change     ,0,1
13871,being from  you see how our youth education  lack of jobs    exist      ,1,1
13872,better policing   and economic resources can help break cycles of retaliation that fuel some    ,0,1
13874,blame  for deaths of 3 in    nra blocked bills that would keep guns from mentally ill    ,1,3
13875,by all means pray  if that s your thing  but we need action to end    ,1,1
13878,can we stop throwing around the   plz  people didn t even practice basic hygiene when the bill of rights was ratified  ,0,2
13879,canadian satire site writes bold article about what will undoubtedly happen somewhere in usa tomorrow   ,1,3
13880,compare these  death rates  the u s  is in a different world    ,1,1
13881,dean    prof  say it s time to research        ,0,1
13883,don t accept the status quo  keep fighting  don t be silent  keep talking   to stop   ,1,1
13884,enjoying my morning coffee with a side of   thanks america    ,1,4
13885,equal access to justice for victims of gun violence act  h r  4399 s  2469        ,0,2
13886,every day  on average  seven children and teens are killed by guns in america     ,0,1
13887,for clarity   u re saying if isil is done they ll be no more  or senseless    ,1,1
13888,friday night in    3 killed  13 injured in    ,1,2
13891,gun injuries  are they getting more deadly      ,1,1
13893,hearts squeezed  twisted in 3 million ar 15 magazines cower across the us enslaved by multiple phobias    ,1,1
13894,help me out fellow debate watchers  did trump just come out in favor of stricter gun laws   ,0,1
13895,here  gun nuts  now you can conceal your weapon  hide your shortcomings and go fuck yourselves    ,1,1
13901,i applaud       for their efforts in combatting    together  we can overcome this horrific reality  ,0,1
13904,i think it s clear  we should start banning walmart  ,1,1
13905,i think that every time you mention a death by a legally purchased firearm  you should prefix it with  avoidable    ,0,1
13906,i ve just shriveled into professor farnsworth i m grimacing so hard     a quote of his comes to mind      ,1,2
13907,incredibly powerful   editorial        ban assault weapons     ,1,1
13908,if only the  are this keen on  as they are on clinton email    ,1,4
13909,instead of attacking terrorism  i will be going after law abiding citizen s rights         ,1,2
13910,it s amazing how cowardly  like  spew bullshit  get called on it  then hide behind a block    ,1,4
13911,it s bad when i heard about the shooting in  and wasn t one bit shocked or surprised by it  i ve just come to expect  ,0,1
13912,it s odd that the  is associated with the term pro life       wasted lives  without consequence  ,1,4
13914,it s storming outside and inside the  today        ,1,2
13915,leave it to  to make americans care enough about current events for  to trend  keep it up  we need these laws ,1,1
13916,let me guess  you paid 0 5  of people in the whole state to take the survey         ,0,2
13918,make sure to read the last paragraph      ,1,2
13919,making a killing   via   stop exploiting fear     we must find non violent ways to prevent  ,1,2
13920,maybe republicans don t want to go on record for their  or  stance   ,1,2
13921,moments of silence  thoughts and prayers  symbolism instead of action from bought and paid for politicians  ,1,1
13922,more  and less            ,1,1
13923,more than 500 people were shot in america during the week after orlando    ,1,2
13924,my friend  joined house sit in to demand action on     ,1,2
13925,my latest column  guns cannot be prayed away    ,1,1
13926,omg  hasn t that been proven not 2 work  that s why we need   end    ,0,2
13927,open carry demonstrations cause jitters   if unwise is this venue  why okay in other public venues  ,0,2
13928,overall crime rate is down but  is really bad compared to that in comparable countries    ,0,2
13929,read this             ,0,1
13930,rt politicallaughs  we know what causes violent crime  we just don t have the moral fortitude to act upon the knowledge    ,0,1
13931,rt amnesty  every person  everywhere  has a right to live safe from     ,1,2
13933,retweeted radiance foundation       or  violence   killing innocent humans is     ,1,1
13934,stop  now   ,1,1
13936,senate votes on gun policy on monday  tell them to take action against  now     ,1,2
13937,senate votes on gun policy on monday  tell them to take action against  now     ,1,2
13938,senate votes on gun policy on monday  tell them to take action against  now     ,1,2
13939,send a quick letter to congress and tell them to take action against  now   ,1,1
13944,society teaches  don t get shot  rather than  don t shoot   it s time to change this mentality   ,0,1
13945,south la leads town hall focused on  solutions to address            ,0,4
13947,teen shot in the arm in west philadelphia      ,1,3
13948,thank u  this is why action not silence is needed  silence death  we ve learned that already     ,1,1
13949,thank you  for seeking  solutions to the  problem in america  ,1,2
13950,that states with strict gun laws have     states w  loose laws have more  that gun trafficking rampant   ,1,4
13951,the nra s tweet after the michigan shooting proves it s removed from reality    via ,0,1
13952,the blame is on you  the blame is on me  the blame is on     is our responsibility   ,1,2
13953,the earth is round  the sky is blue and  is a  ,0,1
13954,these kids had such great futures  very heartbreaking   ,0,2
13955,this country has always lived by the gun and now we are dying by the gun ,0,1
13961,thoughts and prayers are not enough  time to act up for    to reduce   ,1,1
13962,three people shot in domestic dispute in mt  morris township      ,1,3
13963,three year old boy shot  critically wounded in  south side neighborhood     via ,1,2
13964,thugs  radicals and other criminal elements         ,1,2
13965,thx  in  for joining me last week to discuss    we must protect future generations   ,1,4
13966,time to vote out these republican senators   end ,1,2
13969,trump jr  is an insensitive jerk  loss of life due to  is not a joke   ,0,4
13970,try reading the  sometime  maybe then you ll understand       ,1,4
13973,watching  story  we have to do something abt      ,0,2
13975,we stand with you  and thank you for this    ,1,1
13976,well this is eerie as hell      ,1,1
13979,what would robert heinlein say about the nra adopting one of his aphorisms      ,0,1
13982,why   see the facts  the cost of   the deaths of  and    we need a safer way   ,0,4
13984,with all the violence this past few days it makes me wonder what s stopping my name from being a hashtag  ,0,1
13985,with yet another shooting now in  we are going to continue to ignore the conversation on america s  problem  insane ,0,1
13987,y all gotta wake up  this is 3 agendas 1 event  anti gay  anti muslim and anti guns     ,1,1
13988,yah   because no  ever occurred with a        ,1,2
13989,yes they could  jefferson owned a 22 shot repeating rifle        ,1,4
13991,yet thousands in from  every year and the  sits on their hands   ,1,3
13992,you have to control the sale flow of  before controlling    i m ,0,4
13993,guns and deaths in australia  firearms 25   knives 43     laws,0,4
13994,maybe the gun freaks have an issue with the size of their penis        ,1,1
13997, like the       our   infested     no kidding  looking forward to that  mr     ,1,1
13998, nauseated   alla    guns don t kill people  people kill people  kno facts be4 you act gotdamnit   ,0,1
13999, if you can t fly  you shouldn t be able to buy     senator edward markey  mass   ,1,1
14000, only a good guy with a gun  can stop a bad guy with a gun   what if the bad guy has a badge       ,1,4
14002,   for families of the  of  is necessary   ,0,1
14003, in   you betcha        ,1,3
14005, the state of u s  policing    via    ,0,1
14006, as long as republicans continue to take nra bribes   defend psychopaths     it s time to vote  em out   ,1,2
14007, is a  crisis      ,1,1
14010,    call your congress representatives in house   senate   ,1,3
14012, man shot and killed in   more on victim  investigation           ,0,4
14013,  we can always go back     do something ,1,2
14014, shoot now  lie later ,1,4
14015,   betting they all have great  laws to protect their pple fr   usa  not so smart  ,0,1
14016,  continue to  for families devastated by    ,1,2
14017,  comm in ny support  event to denounce       ,0,2
14019,2 black men carried legal concealed weapons to be safe   died because of it  if you listen to nra  you re a fool  ,0,1
14020,4 year old girl shot in eye   1800 blk n  20th  pronounced   1 00   hahnemann  ,1,2
14021,4  we have to get serious about mental health care  we ve got some sick minds out there  we need to help them   ,1,1
14022,50th anniversary of uoftexas sniper attack that left 17 dead becoming template of mass shootings   ,0,4
14023,7 hours   7 hours of strong  stepping up to fight for common sense gun control     ,1,1
14025, supt  johnson      ,0,2
14026,   please take time to listen to chief brown  respect dpd by working to stop   ,0,2
14027, rt to each and every  sitting down to end  this  is for you              ,1,2
14028, ryan too busy working on his  repeal and replace   announcements wonder if it covers  victims ,1,2
14029, my latest post in        ,0,2
14030,    are joined together in         ,1,2
14031, the american people will be voting so many of you  out  we are tired of      ,1,2
14032,  we must turn our grief into action      ,0,4
14033, perfect example of mass hysteria   ,1,4
14034, this is bound to be  appeal to emotion  propaganda   ,0,2
14036,  thank you all   keep up this fight  it s worth it   lives are at stake here    ,1,1
14038, gun violence debate  where do you stand   snipme wants your video opinion  ,0,1
14040,  stop being an accomplice to murder pass the law keep  out of the wrong     ,1,2
14042,      agreed  out of control,1,4
14044,a link to my  of protest written after        ,0,2
14045,a reminder that one of the jobs of the presidency is 2 comfort mothers of those lost to isis and domestic     ,0,3
14048,again  why  refuses to do anything to curb        ,0,2
14049,all  owners vote no  let them see they re a minority         ,0,4
14051,apparently my comment about truth upset   pathetic     ,0,1
14053,banning  seems the least we can do to help stop these mass shootings  ,1,1
14054,become the solution   don t just sit there and say we have a problem    needs to stop now  ,1,1
14055,call 1 855 331 8593 to connect with senate       senate democrats  ,1,1
14056,can t media move on   it s over  no criminal charges  report on real crimes like   want vote on   ,1,4
14057,clearly he doesn t understand sarcasm  he fails at twitter         ,0,1
14059,common sense gun laws work       ,1,1
14060,compelling statements from   colleague   weighs on all of us  some more than others   ,0,1
14061,concerned community 4 change   stakeholder partners announce anti  gala benefit at barclays 40 40 club  ,0,2
14062,dallas pastor  it s time for christians to do more than pray to end      ,0,1
14063,dems are in the senate fighting for  reform  is in the house bitching about green energy  ,1,1
14064,did you see chelsea clinton speak out at  on         ,0,4
14065,everyone should tune in to the senate floor for the dem filibuster    ,1,1
14066,feeling energized about  knowing we need to curb  that s why    ,0,1
14068,from   an  op ed by the great     is a human rights crisis   ,1,4
14069,good police will continue to fall due to  police  i ask   to not stand behind bad cops  turn them in   ,0,2
14070,got a new dj mix  murder rain capital  from 2015 halloween set  totally      ,1,3
14074,hey   thanks for the follow  we ll demand the  addresses    via  ,0,2
14075,hey   thanks for the follow  we ll demand the  addresses    via  ,0,2
14076,hey everyone  this is live on c span2       ,1,1
14077,hey    do your damn job   pass gun control legislation that works  get over  s emails  focus on  now ,0,1
14078,house democrats are not giving up fight to end   must continue raising our voice to say   ,1,2
14079,how will we ever stop domestic terrorism when weapons like these are so easy to obtain      ,1,3
14080,i agree with hillary   enough            ,1,2
14081,i can t stop watching  2 and the  happening concerning  in this country  i love the   ,1,1
14082,i have a concealed weapons license  i m exempt from all your stupid background checks            ,0,3
14084,inside the shadowy world of america s 10 biggest gunmakers  making millions off of     ,1,1
14085,it is great to see a positive movement against  and        ,0,3
14086,it is time we stand for change and        ,1,3
14087,it s so funny    go see it  especially if you care at all about the current gun control debates     ,0,1
14088,it s happening   you come for one of us  you come for us all   must stop   we will stop at nothing   ,1,1
14089,jake tapper notes that with dallas trip  obama is set to make his eleventh visit to a city after an act of gun violence  ,0,1
14090,join us at   office tomorrow   12 p m  to continue discussion about the impact of  on  ,1,3
14092,key things 2 know about guns   mass shootings    ,1,1
14093,live    on  floor w         ,1,2
14094,let s continue to not do anything to stop      ,0,1
14095,let s come together as a community to urge those with a high propensity for  to    ,0,4
14097,love how the recent outbreak of  is a  serious threat  to the  but both  and  aren t  ,1,2
14098,make father s day a time to remember  not a day to forget by sharing messages that can help prevent   ,1,2
14100,no  it s not  conflating  with gun deaths and including suicide numbers is lying        ,0,3
14102,our  team did their research on  and here s what we found    ,1,1
14103,our children  and others  are growing numb to    role reboot     via ,1,1
14107,rt   icymi   op ed  understanding gun violence  applauds ca efforts on  research  ,1,3
14108,rt amnesty  every person  everywhere  has a right to live safe from          ,1,2
14109,rt amnesty  every person  everywhere  has a right to live safe from     ,1,2
14114,sadly  all too often this is the political press narrative after an act of  or    ,1,2
14115,senate already looking past monday s doomed votes on gun control   abc news     via    ,1,2
14116,senate votes on gun policy on monday  tell them to take action against  now     ,1,2
14117,senate votes on gun policy on monday  tell them to take action against  now     ,1,2
14118,send a quick letter to congress and tell them to take action against  now   ,1,1
14120,so sad to hear about glennell fairley this morning  he was a shining star cut down too early     ,0,1
14121,stop the violence ,1,4
14122,this   kismet is 11 yrs as  instructor turned  prevention activist       ,0,2
14124,teenager shot  killed in muskegon        ,1,1
14125,thank you  for the mention in story about  discussion about the impact of  on  ,0,3
14126,thank you  for raising  awareness in the lawrence mass and for all you do   ,0,1
14127,thanks to my home state senators for joining  to    call for action to stop    ,1,1
14129,the  collateral damage  of gun deaths in america   avg 7 children teens shot every day   ,0,2
14134,this is incredibly inspiring to read about dr  wintemute s dedication to researching   ,0,1
14136,this never should happen  extend the waiting period for gun purchases  tighten the damn laws     ,0,3
14137,this one was on monday  three people shit in houston  do you even care      ,1,1
14140,thoughts on guns  and gun control   via    ,1,1
14142,time to change dialogue from  to how people easily resort to violence of all kinds to solve problems ,0,2
14143,trump thinks  is the answer to chicago s   but local cops have stopped   4x the rate of nyc  ,0,2
14144,trying to catch up on  feed from the last two days  interesting discussion   lot of work ahead to end ,1,4
14145,vote blue  get the nra out of our congress         ,0,1
14148,we are watching  we are with you  keep up the filibuster for gun reform     ,1,1
14149,we can all help by doing whatever positive works that we can  love  positivity   open mindedness makes for change       ,1,2
14150,we can do better than this    ,0,3
14152,we need 2   address  against communities of color      ,0,1
14154,well this explains a lot       the nra s murder mystery   via ,1,1
14155,what a stupid comment           ,1,1
14156,what does  teach  about the  lobby        ,1,2
14157,what happens if creatives are fed up  brilliant ideas on gun violence         ,1,4
14158,when children learn  new artwork collection coming up soon          ,1,1
14159,when do we as a nation become sickened by  in america        ,0,3
14160,will  prevention be brought up tonight   if so  what will the candidate s answers be    ,0,1
14161,wow this is powerful  i honestly never thought abt this but guess i better start      ,1,3
14162,you don t get to limit me   is clear  move elsewhere if you don t like it        ,0,2
14163,how many people on either side of the issue actually knows what the 2nd amend says      ,0,1
14166, i   the public know what all schoolchildren learn those to whom evil is done do evil in return    ,0,1
14167, i will not be silent   that is a promise and a commitment     rev   in wake of recent   ,0,1
14168, lack of data on gun violence is an embarrassment  researchers say     ,0,2
14169, shots fired   on our twisted gun obsession       ,1,2
14174, republican platform says pornography a  public health crisis   rather than  that actually kills   ,0,1
14175, our weapons are the name of jesus  the blood of jesus and the word of god  do you know how to use your weapons ,0,4
14176, is a public health crisis and a threat to children s health  i m a pediatrician and i say ,1,1
14177,         photo via the cagle post   ,1,2
14178,  33 000 victims of  per year  that s a lot of compensation   it worked with tobacco  we got regulation  ,1,2
14179,  turn the cameras back on  you can silence democracy  ,1,2
14180,  churches   schools no longer safe havens because of easy access to guns   other issues   ,0,1
14181, hospital about response to massacre   we treat 5 6 gunshot wound victims every day   just think about that   ,1,1
14183,    stop  now   how can we live like this     ,0,1
14184, after what happened to  it became personal to me  something must be done    ,1,2
14185,  members support  sitting in for vote on rational gun control     ,1,2
14187,    continue to  in the fight to end   we have all had  ,1,1
14189,33 000 ppl have died from  since charleston 1yr ago today   txt  disarm hate  to 877 877,1,1
14190,4  proposals the  is voting on      ,1,2
14191,4 teens shot in front of san francisco campus  1 critical   this is what candidates need to address ,0,4
14192,5 shot  1 killed in shooting at atlanta club   ,1,3
14193,944 guns missing from bay area law enforcement          ,1,3
14195, congress came together so quickly clinton emails vs americans being shot and killed  ,1,4
14196,   didn t you see   is no longer an issue   ,0,4
14197,   my guns are lazy as hell and pacifists  never even pointed themselves at a human   ever   ,0,1
14201,   i think u were very brave to speak up on    ,0,1
14202, thank you    to end ,0,1
14203, gives an impassioned speech on behalf of  victims      ,1,2
14205,   the cops are probably all nra members too      ,0,2
14208, latest post in         ,0,2
14209, yes ma am  we need stricter  in all aspects in order to minimize    encourage peace in communities   ,0,4
14210,  a congresswoman who stands with all americans against      ,0,2
14211, and americans from  ,0,1
14212,   you all need a conscience     ,1,3
14213, don t work for the   work for the people who pay you  do your job  damn it  ,1,2
14214, thanks for sharing  follow us as we continue discussion about the impact of  on  at noon today ,1,3
14215, i know  stats pretty darn well  it s kinda part of my job ,1,1
14216,   i m not so sure   refuse to act on  because they love  cash  ,1,2
14217,    you elect ppl that support the murder of our children  ,1,3
14218, americans are in danger of  every day   are standing up for those people  for us  ,1,2
14219, must be a great feeling to know your staff does the bidding of the nra   ,1,2
14221,  you know there are places where all the good guys and all the scum have guns  it s called a war zone  ,1,1
14222, there is no such thing as   its just  or  or   or  ,1,2
14223, or if eve had just not eaten the apple   ,1,1
14224, your moment of silence means nothing  stop taking money from the nra and do something about  ,1,1
14225,a gun is a shitty tool  it only has one function  at least a claw hammer can pull a nail out   ,1,1
14226,americans are counting on congress to take action to  and end   ,0,1
14227,anti   activist launching new crowd funded pac   boston herald  ,1,2
14229,as  funerals wrap up  survivors worry about future      ,1,2
14232,cps employee killed outside school   the moral compass has been shattered  via         ,1,1
14234,casey dorman s commentary on the gun control debate     ,1,2
14235,check out my parody animation on pokemon go        ,0,1
14237,common sense   wisdom from a us attorney who s become passionately involved in  s epidemic of    ,0,1
14238,common sense is a beautiful thing    ,1,1
14239,demanding action on gun violence  house democrats stage sit in   via  ,1,2
14240,did you see this   calls on congress to lift ban on cdc research funding for    ,1,2
14241,disappointed in  and failure to protect america from     ,1,2
14243,doctors will do our part to help america heal  will you stand with us to stop     ,1,1
14244,general council hears about underlying constitutional issues from stopping  panel  ,0,4
14245,glad that  explains the importance of common sense solutions to end     ,0,2
14246,grab  on your way  you should both be there representing nm in stopping   ,1,1
14247,gun researchers see a  emergency in  here s why      ,1,1
14249,gunman shoots dead 3 young partygoers at mukilteo  washington home   via  ,0,4
14250,huffpollster  concerns about  and terrorism spike after orlando attack    ,1,1
14251,have to solve   ,0,1
14252,help send a message to congress  allow  to research      via  ,1,1
14253,hey   thanks for the follow  we ll demand the  addresses    via  ,0,3
14256,how many more before we take action as a nation  this horrible  has to stop      ,0,3
14257,how to defend your home in the     a 9mm   a couple of clips   a box of shells    via   ,0,2
14258,i calculated speed of ak15 bullet  16 896 000 miles sec  per google  3200 feet sec      ,1,2
14259,i support the      ,1,1
14260,i write my senators  i call them   y all  change takes all of us  decisions are made by those who show up  ,1,2
14261,i d say isil is only tangentially relevant 2the  in   we armed him and all the rest w massive amounts of assault weapons,1,1
14262,if we can have impromptu hearings on emails we can have impromptu hearings on  ,0,1
14263,illegal for feds to maintain a database  keep digging that hole         ,0,1
14265,is it time for reasonable americans 2 fight for gun control in the courts   circumvent congress       ,1,1
14266,it s time to stop the insanity       ,1,1
14267,join dr  lisa fiore   panel of lesley faculty experts for discussion on  and trauma  tues 9 27  ,0,1
14268,june 12  2016   via   ,1,4
14269,let the  research   end the dickey amendment   stop the   ,1,3
14271,man fatally shot outside father s auto shop  another wounded      ,1,4
14272,many u s  cities have gun homicide rates in line with the most deadly nations in the world via    ,1,1
14273,maybe this is sort of old school civil disobedience is exactly what we need to get things moving on  ,1,2
14274,most ppl who attempt    survive say they decided to kill themselves just 10 minutes before they acted on it  ,1,1
14275,no criminal charges      media    let it go   report on all this    ,1,4
14276,new  gun control law allows concealed guns on campus    ,0,4
14278,now is the time      ,0,2
14279,numb  feeling again    stop listening to the media  islam did t attack us  a deranged american attacked us      ,1,1
14280,one way or another things must change  what the us had so far isn t acceptable    ,1,1
14282,poll  see what most folks think        ,1,2
14284,pistol smack his momma til ha teeth jerk      ,0,1
14285,please vote against        study  ,1,1
14286,ppl  cars are more dangerous than guns me  yes  and we did something about it      ,1,2
14287,pres obama has one record that is unenviable to other presidents which is the record number of times he speaks on gun deaths ,0,1
14288,protect my family with guns from guys with guns       ,1,4
14289,rt   heading over to  to talk with  about this week s filibuster   our efforts to combat ,1,2
14292,senate votes on monday  tell them to take action against  now     ,1,1
14293,senate votes on gun policy on monday  tell them to take action against  now     ,1,2
14294,send condolence to  and support    please sign and or pass on        ,1,1
14295,so true         ,1,1
14296,still can t get through the words  sandy hook  without tears rolling down my face    ,0,4
14297,talking  with helen ubi as of the daily news  how can this change  what can we do    flood the drummer,1,3
14299,thank you  and  for joining  in the  and the effort to reduce    ,1,1
14300,thank you  australia  for making us safe from gun crimes powerful  moving    sad       ,1,1
14301,thanks  for addressing  in your  performance   is our best hope for change when it comes to  ,0,3
14302,thanks senator  for joining the  and bringing up domestic violence relation to   ,1,1
